Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
AHA World;Sverige;Spotlight;Sällanköpsvaror;Betting & Casino;AHA
Alteco Medical;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;ALTE
Ambia Trading;Sverige;Spotlight;Industri;Elektroniska komponenter;AMBI
Axkid;Sverige;Spotlight;Sällanköpsvaror;Bil & Motor;AXKID
BrainCool;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;BRAIN
C Security;Sverige;Spotlight;Informationsteknik;Säkerhet & Bevakning;CSEC
DexTech Medical;Sverige;Spotlight;Hälsovård;Biotech;DEX
Igrene;Sverige;Spotlight;Energi;Olja & Gas - Exploatering;ABI
RootFruit;Sverige;Spotlight;Dagligvaror;Livsmedel;ROOT
Sealwacs;Sverige;Spotlight;Informationsteknik;Elektronisk Utrustning;SEAL
Zenicor Medical;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;ZENI
Gabather;Sverige;First North;Hälsovård;Biotech;GABA
Follicum;Sverige;Spotlight;Hälsovård;Biotech;FOLLI
Oboya Horticulture;Sverige;First North;Material;Förpackning;OBOYA B
Precisionsmetall;Sverige;Spotlight;Industri;Industrikomponenter;PREMET
Real Heart;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;HEART
Greater Than;Sverige;First North;Industri;Mätning & Analys;GREAT
Ecoclime Comfort Ceilings;Sverige;Spotlight;Industri;Energi & Återvinning;ECC
QBNK;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;QBNK
Phase Holographic;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;PHI
Emotra;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;EMOT
Envirologic;Sverige;Spotlight;Industri;Industrimaskiner;ENVI B
EQL Pharma;Sverige;Spotlight;Hälsovård;Läkemedel;EQL
Tourn;Sverige;Spotlight;Sällanköpsvaror;Marknadsföring;TOURN
Josab Water Solutions;Sverige;Spotlight;Industri;Energi & Återvinning;JOSA
Storytel;Sverige;First North;Sällanköpsvaror;Media & Publicering;STORY B
Motion Display;Sverige;Spotlight;Sällanköpsvaror;Marknadsföring;MODI
OptiFreeze;Sverige;Spotlight;Dagligvaror;Jordbruk;OPTI
Ortoma;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;ORT B
PromikBook;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;PB
ProstaLund;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;PLUN
Saniona;Sverige;Small Cap;Hälsovård;Biotech;SANION
Serstech;Sverige;First North;Industri;Mätning & Analys;SERT
SyntheticMR;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;SYNT
RLS Global;Sverige;First North;Hälsovård;Läkemedel;RLS
A1M Pharma;Sverige;First North;Hälsovård;Biotech;A1M
Enzymatica;Sverige;First North;Dagligvaror;Hälsoprodukter;ENZY
Spago Nanomedical;Sverige;Spotlight;Hälsovård;Biotech;SPAG
Mr Green & Co;Sverige;Mid Cap;Sällanköpsvaror;Betting & Casino;MRG
Sivers IMA;Sverige;First North;Informationsteknik;Elektronik & Tillverkning;SIVE
Safe at Sea;Sverige;Spotlight;Industri;Industrimaskiner;SAFE
Recyctec;Sverige;Spotlight;Industri;Energi & Återvinning;RECY B
Angler Gaming;Sverige;Spotlight;Sällanköpsvaror;Betting & Casino;ANGL
Beowulf Mining;Sverige;Spotlight;Material;Gruv - Prospekt & Drift;BEO SDB
Peptonic Medical;Sverige;Spotlight;Hälsovård;Biotech;PMED
Red Reserve;Sverige;Spotlight;Sällanköpsvaror;Gaming & Spel;REDR
ECOMB;Sverige;Spotlight;Industri;Energi & Återvinning;ECOM
EcoRub;Sverige;Spotlight;Industri;Energi & Återvinning;ECO B
Alphahelix;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;ALPH
Amnode;Sverige;Spotlight;Industri;Industrikomponenter;AMNO
Amhult 2;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;AMH2 B
Umida Group;Sverige;Spotlight;Dagligvaror;Bryggeri;UMIDA B
AQ Group;Sverige;Mid Cap;Industri;Industrikomponenter;AQ
AroCell;Sverige;First North;Hälsovård;Biotech;AROC
Archelon;Sverige;NGM;Material;Gruv - Prospekt & Drift;ALON MTF B
Botnia Exploration;Sverige;First North;Material;Gruv - Prospekt & Drift;BOTX
EasyFill;Sverige;Spotlight;Industri;Bygginredning;EASY B
European institute;Sverige;Spotlight;Hälsovård;Biotech;EURI B
Gullberg & Jansson;Sverige;Spotlight;Industri;Energi & Återvinning;GJAB
Challenger Mobile;Sverige;Spotlight;Telekommunikation;Telekomtjänster;CHAL B
Eurocon;Sverige;Spotlight;Informationsteknik;IT-Konsulter;EURO
Slottsviken B;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;SLOTT B
Deflamo;Sverige;First North;Material;Kemikalier;DEFL B
Smart Energy;Sverige;NGM;Energi;Olja & Gas - Försäljning;SEGR MTF
Bahnhof;Sverige;Spotlight;Telekommunikation;Bredband & Telefoni;BAHN B
