Dates;Destination;Group;Period;Price;Regio;Status;min_price
['18.11.2019', '25.11.2019'];Shanghai Pudong;fernreisen;2019-11;362,00 €;Asia;07.10.2019;362,00 €
['12.03.2020', '24.03.2020'];Shanghai Pudong;fernreisen;2020-03;362,00 €;Asia;09.10.2019;362,00 €
['28.11.2019', '03.12.2019'];Shanghai Pudong;fernreisen;2019-11;363,00 €;Asia;18.10.2019;362,00 €
['28.11.2019', '03.12.2019'];Shanghai Pudong;fernreisen;2019-11;363,00 €;Asia;19.10.2019;362,00 €
['10.12.2019', '18.12.2019'];Shanghai Pudong;fernreisen;2019-12;387,00 €;Asia;04.10.2019;362,00 €
['10.12.2019', '18.12.2019'];Shanghai Pudong;fernreisen;2019-12;387,00 €;Asia;05.10.2019;362,00 €
['12.03.2020', '24.03.2020'];Shanghai Pudong;fernreisen;2020-03;362,00 €;Asia;06.10.2019;362,00 €
['18.11.2019', '25.11.2019'];Shanghai Pudong;fernreisen;2019-11;362,00 €;Asia;07.10.2019;362,00 €
['12.03.2020', '24.03.2020'];Shanghai Pudong;fernreisen;2020-03;362,00 €;Asia;09.10.2019;362,00 €
['28.11.2019', '03.12.2019'];Shanghai Pudong;fernreisen;2019-11;363,00 €;Asia;18.10.2019;362,00 €
['28.11.2019', '03.12.2019'];Shanghai Pudong;fernreisen;2019-11;363,00 €;Asia;19.10.2019;362,00 €
['28.11.2019', '03.12.2019'];Shanghai Pudong;fernreisen;2019-11;363 €;Asia;2019-10-20;362,00 €
['25.02.2020', '10.03.2020'];Shanghai Pudong;fernreisen;2020-02;363 €;Asia;2019-10-22;362,00 €
['10.12.2019', '18.12.2019'];Shanghai Pudong;fernreisen;2019-12;388 €;Asia;2019-10-26;362,00 €
['10.12.2019', '18.12.2019'];Shanghai Pudong;fernreisen;2019-12;388 €;Asia;2019-10-26;362,00 €
['16.02.2020', '04.03.2020'];Singapur;fernreisen;2020-02;410 €;Asia;2019-10-20;374 €
['03.12.2019', '26.12.2019'];Singapur;fernreisen;2019-12;374 €;Asia;2019-10-26;374 €
['03.12.2019', '26.12.2019'];Singapur;fernreisen;2019-12;374 €;Asia;2019-10-26;374 €
['28.02.2020', '26.03.2020'];Taipei;fernreisen;2020-02;297,00 €;Asia;04.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;307,00 €;Asia;04.10.2019;296 €
['27.01.2020', '23.02.2020'];Taipei;fernreisen;2020-01;296,00 €;Asia;05.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;307,00 €;Asia;05.10.2019;296 €
['02.03.2020', '12.03.2020'];Taipei;fernreisen;2020-03;296,00 €;Asia;06.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;306,00 €;Asia;06.10.2019;296 €
['03.02.2020', '16.02.2020'];Taipei;fernreisen;2020-02;296,00 €;Asia;07.10.2019;296 €
