Destination;Dates;Price;Group;Period;Status;Regio;min_price
Funchal;['03.09.2020', '17.09.2020'];162,00 €;warme-reiseziele;2020-09;05.10.2019;Europe;162,00 €
Funchal;['02.09.2020', '16.09.2020'];162,00 €;warme-reiseziele;2020-09;06.10.2019;Europe;162,00 €
Funchal;['01.09.2020', '15.09.2020'];164,00 €;warme-reiseziele;2020-09;07.10.2019;Europe;162,00 €
Funchal;['02.09.2020', '16.09.2020'];162,00 €;warme-reiseziele;2020-09;09.10.2019;Europe;162,00 €
Girona;['16.10.2019', '23.10.2019'];45,00 €;staedtereisen;2019-10;04.10.2019;Europe;45,00 €
Girona;['16.10.2019', '23.10.2019'];45,00 €;last-minute;2019-10;04.10.2019;Europe;45,00 €
Grenada;['19.10.2019', '02.11.2019'];601,00 €;last-minute;2019-10;05.10.2019;Karibik;582,00 €
Grenada;['19.10.2019', '02.11.2019'];601,00 €;last-minute;2019-10;06.10.2019;Karibik;582,00 €
Grenada;['19.10.2019', '26.10.2019'];582,00 €;last-minute;2019-10;07.10.2019;Karibik;582,00 €
Grenada;['19.10.2019', '26.10.2019'];588,00 €;last-minute;2019-10;09.10.2019;Karibik;582,00 €
Hanoi;['06.12.2019', '22.12.2019'];391,00 €;fernreisen;2019-12;07.10.2019;Asia;391,00 €
Hanoi;['06.12.2019', '22.12.2019'];392,00 €;fernreisen;2019-12;09.10.2019;Asia;391,00 €
Hongkong;['01.05.2020', '12.05.2020'];339,00 €;fernreisen;2020-05;04.10.2019;Asia;338,00 €
Hongkong;['01.05.2020', '12.05.2020'];339,00 €;fernreisen;2020-05;05.10.2019;Asia;338,00 €
Hongkong;['01.05.2020', '12.05.2020'];339,00 €;fernreisen;2020-05;06.10.2019;Asia;338,00 €
Hongkong;['09.12.2019', '16.12.2019'];338,00 €;fernreisen;2019-12;07.10.2019;Asia;338,00 €
Hongkong;['01.05.2020', '12.05.2020'];339,00 €;warme-reiseziele;2020-05;07.10.2019;Asia;338,00 €
Hongkong;['04.12.2019', '12.12.2019'];340,00 €;fernreisen;2019-12;09.10.2019;Asia;338,00 €
Hongkong;['06.05.2020', '13.05.2020'];340,00 €;warme-reiseziele;2020-05;09.10.2019;Asia;338,00 €
Houston;['29.10.2019', '05.11.2019'];329,00 €;fernreisen;2019-10;04.10.2019;USA;328,00 €
Houston;['29.10.2019', '05.11.2019'];329,00 €;warme-reiseziele;2019-10;04.10.2019;USA;328,00 €
Houston;['16.10.2019', '04.11.2019'];449,00 €;last-minute;2019-10;04.10.2019;USA;328,00 €
Houston;['29.10.2019', '05.11.2019'];328,00 €;fernreisen;2019-10;05.10.2019;USA;328,00 €
Houston;['29.10.2019', '05.11.2019'];328,00 €;warme-reiseziele;2019-10;05.10.2019;USA;328,00 €
Houston;['16.10.2019', '04.11.2019'];404,00 €;last-minute;2019-10;05.10.2019;USA;328,00 €
Houston;['29.10.2019', '05.11.2019'];328,00 €;fernreisen;2019-10;06.10.2019;USA;328,00 €
Houston;['29.10.2019', '05.11.2019'];328,00 €;warme-reiseziele;2019-10;06.10.2019;USA;328,00 €
Houston;['16.10.2019', '04.11.2019'];404,00 €;last-minute;2019-10;06.10.2019;USA;328,00 €
Houston;['04.03.2020', '25.03.2020'];328,00 €;fernreisen;2020-03;07.10.2019;USA;328,00 €
Houston;['29.10.2019', '05.11.2019'];332,00 €;warme-reiseziele;2019-10;07.10.2019;USA;328,00 €
Houston;['20.10.2019', '28.10.2019'];432,00 €;last-minute;2019-10;07.10.2019;USA;328,00 €
Houston;['04.03.2020', '25.03.2020'];328,00 €;fernreisen;2020-03;09.10.2019;USA;328,00 €
Houston;['29.10.2019', '05.11.2019'];328,00 €;warme-reiseziele;2019-10;09.10.2019;USA;328,00 €
Houston;['22.10.2019', '31.10.2019'];378,00 €;last-minute;2019-10;09.10.2019;USA;328,00 €
Istanbul;['15.07.2020', '22.07.2020'];146,00 €;warme-reiseziele;2020-07;04.10.2019;MENA;146,00 €
Istanbul Sabiha Gökcen;['12.10.2019', '24.10.2019'];142,00 €;last-minute;2019-10;04.10.2019;MENA;142,00 €
Izmir;['20.05.2020', '24.05.2020'];99,00 €;warme-reiseziele;2020-05;04.10.2019;MENA;99,00 €
Jacksonville Florida;['12.05.2020', '27.05.2020'];328,00 €;fernreisen;2020-05;07.10.2019;USA;328,00 €
Jacksonville Florida;['12.05.2020', '27.05.2020'];328,00 €;warme-reiseziele;2020-05;07.10.2019;USA;328,00 €
Jacksonville Florida;['12.05.2020', '27.05.2020'];328,00 €;fernreisen;2020-05;09.10.2019;USA;328,00 €
Jacksonville Florida;['12.05.2020', '27.05.2020'];328,00 €;warme-reiseziele;2020-05;09.10.2019;USA;328,00 €
Jacksonville, Florida;['12.05.2020', '27.05.2020'];328,00 €;fernreisen;2020-05;04.10.2019;USA;328,00 €
Jacksonville, Florida;['12.05.2020', '27.05.2020'];328,00 €;warme-reiseziele;2020-05;04.10.2019;USA;328,00 €
Jacksonville, Florida;['12.05.2020', '27.05.2020'];328,00 €;fernreisen;2020-05;05.10.2019;USA;328,00 €
Jacksonville, Florida;['12.05.2020', '27.05.2020'];328,00 €;warme-reiseziele;2020-05;05.10.2019;USA;328,00 €
Jacksonville, Florida;['12.05.2020', '27.05.2020'];328,00 €;fernreisen;2020-05;06.10.2019;USA;328,00 €
Jacksonville, Florida;['12.05.2020', '27.05.2020'];328,00 €;warme-reiseziele;2020-05;06.10.2019;USA;328,00 €
Jeddah;['08.02.2020', '25.02.2020'];280,00 €;warme-reiseziele;2020-02;06.10.2019;MENA;280,00 €
Jeddah;['08.02.2020', '25.02.2020'];280,00 €;warme-reiseziele;2020-02;07.10.2019;MENA;280,00 €
Jeddah;['01.11.2019', '30.11.2019'];339,00 €;warme-reiseziele;2019-11;09.10.2019;MENA;280,00 €
Kapstadt;['16.08.2020', '05.09.2020'];508,00 €;sommerferien;2020-08;07.10.2019;MENA;508,00 €
Kiew;['28.11.2019', '03.12.2019'];77,00 €;kurzurlaub;2019-11;04.10.2019;Europe;76,00 €
Kiew;['28.11.2019', '03.12.2019'];76,00 €;kurzurlaub;2019-11;05.10.2019;Europe;76,00 €
Kiew;['28.11.2019', '03.12.2019'];76,00 €;kurzurlaub;2019-11;06.10.2019;Europe;76,00 €
Kiew;['01.12.2019', '08.12.2019'];77,00 €;staedtereisen;2019-12;07.10.2019;Europe;76,00 €
Kiew;['01.12.2019', '08.12.2019'];78,00 €;staedtereisen;2019-12;09.10.2019;Europe;76,00 €
Korfu;['12.08.2020', '22.08.2020'];150,00 €;warme-reiseziele;2020-08;06.10.2019;Europe;150,00 €
Korfu;['12.08.2020', '22.08.2020'];150,00 €;sommerferien;2020-08;06.10.2019;Europe;150,00 €
Kuala Lumpur;['10.02.2020', '08.03.2020'];388,00 €;fernreisen;2020-02;04.10.2019;Asia;387,00 €
Kuala Lumpur;['06.03.2020', '22.03.2020'];388,00 €;fernreisen;2020-03;05.10.2019;Asia;387,00 €
Kuala Lumpur;['06.03.2020', '29.03.2020'];388,00 €;fernreisen;2020-03;06.10.2019;Asia;387,00 €
Kuala Lumpur;['22.04.2020', '29.04.2020'];387,00 €;fernreisen;2020-04;07.10.2019;Asia;387,00 €
Kuala Lumpur;['06.03.2020', '29.03.2020'];388,00 €;fernreisen;2020-03;09.10.2019;Asia;387,00 €
Kutaisi;['15.10.2019', '28.10.2019'];95,00 €;last-minute;2019-10;04.10.2019;Europe;81,00 €
Kutaisi;['15.10.2019', '28.10.2019'];81,00 €;last-minute;2019-10;05.10.2019;Europe;81,00 €
Kutaisi;['15.10.2019', '28.10.2019'];85,00 €;last-minute;2019-10;06.10.2019;Europe;81,00 €
Kutaisi;['19.10.2019', '26.10.2019'];87,00 €;last-minute;2019-10;07.10.2019;Europe;81,00 €
Kutaisi;['19.10.2019', '26.10.2019'];86,00 €;last-minute;2019-10;09.10.2019;Europe;81,00 €
Lamezia Terme;['12.10.2019', '17.10.2019'];108,00 €;last-minute;2019-10;04.10.2019;Europe;108,00 €
Lamezia Terme;['10.10.2019', '24.10.2019'];111,00 €;last-minute;2019-10;05.10.2019;Europe;108,00 €
Lamezia Terme;['12.10.2019', '17.10.2019'];108,00 €;last-minute;2019-10;06.10.2019;Europe;108,00 €
Lamezia Terme;['10.10.2019', '24.10.2019'];112,00 €;last-minute;2019-10;07.10.2019;Europe;108,00 €
