,description,displaySymbol,symbol,source,Exch_name
243,SONAE CAPITAL (6SC.SG),6SC.SG,6SC.SG,SG,BOERSE STUTTGART
244,PT Tower Bersama Infrastructure Tbk,6TB.SG,6TB.SG,SG,BOERSE STUTTGART
245,THEMAC Resources Group Limited,6TH.SG,6TH.SG,SG,BOERSE STUTTGART
246,CN LONGYUAN POWER-H (6WX.SG),6WX.SG,6WX.SG,SG,BOERSE STUTTGART
247,ZANAGA IRON ORE (6ZA.SG),6ZA.SG,6ZA.SG,SG,BOERSE STUTTGART
248,PT Surya Esa Perkasa Tbk,71S.SG,71S.SG,SG,BOERSE STUTTGART
249,AMARILLO GOLD (72A.SG),72A.SG,72A.SG,SG,BOERSE STUTTGART
250,Madalena Energy Inc,72M.SG,72M.SG,SG,BOERSE STUTTGART
251,CHINA PACIFIC -H- (75C.SG),75C.SG,75C.SG,SG,BOERSE STUTTGART
252,AIA GROUP (7A2.SG),7A2.SG,7A2.SG,SG,BOERSE STUTTGART
253,APERAM REG. (7AA.SG),7AA.SG,7AA.SG,SG,BOERSE STUTTGART
254,EAGLE HIGH PLANT (7B7.SG),7B7.SG,7B7.SG,SG,BOERSE STUTTGART
255,ROYAL BAFOKENG PLAT (7BF.SG),7BF.SG,7BF.SG,SG,BOERSE STUTTGART
256,CNMC Goldmine Holdings Limited,7CN.SG,7CN.SG,SG,BOERSE STUTTGART
257,CENTAMIN NPV (7CT.SG),7CT.SG,7CT.SG,SG,BOERSE STUTTGART
258,DOLLAR GENERAL (7DG.SG),7DG.SG,7DG.SG,SG,BOERSE STUTTGART
259,GOLDEN MINERALS (7GB.SG),7GB.SG,7GB.SG,SG,BOERSE STUTTGART
260,Geo Energy Resources Limited (7,7GE.SG,7GE.SG,SG,BOERSE STUTTGART
261,POLISH OIL (7GG.SG),7GG.SG,7GG.SG,SG,BOERSE STUTTGART
262,HILLCREST PETROLEUM (7HI.SG),7HI.SG,7HI.SG,SG,BOERSE STUTTGART
263,Hill & Smith Holdings PLC,7HL.SG,7HL.SG,SG,BOERSE STUTTGART
264,PT Indo Straits Tbk,7IS.SG,7IS.SG,SG,BOERSE STUTTGART
265,"Kingold Jewelry, Inc",7KJ.SG,7KJ.SG,SG,BOERSE STUTTGART
266,PT Mustika Ratu Tbk,7MU.SG,7MU.SG,SG,BOERSE STUTTGART
267,NULEGACY GOLD (7NU.SG),7NU.SG,7NU.SG,SG,BOERSE STUTTGART
268,"NEXON Co., Ltd",7NX.SG,7NX.SG,SG,BOERSE STUTTGART
269,PZU (7PZ.SG),7PZ.SG,7PZ.SG,SG,BOERSE STUTTGART
270,Eneco Energy Limited,7RE.SG,7RE.SG,SG,BOERSE STUTTGART
271,SUNTORY B & F (7SN.SG),7SN.SG,7SN.SG,SG,BOERSE STUTTGART
272,TRISTAR GOLD (7TG.SG),7TG.SG,7TG.SG,SG,BOERSE STUTTGART
273,TIKKURILA  (7TO.SG),7TO.SG,7TO.SG,SG,BOERSE STUTTGART
274,CIMPRESS (7VP.SG),7VP.SG,7VP.SG,SG,BOERSE STUTTGART
275,SAWAI PHARMACEUTICAL,7WS.SG,7WS.SG,SG,BOERSE STUTTGART
276,ALKERMES (8AK.SG),8AK.SG,8AK.SG,SG,BOERSE STUTTGART
277,AGIOS PHARM (8AP.SG),8AP.SG,8AP.SG,SG,BOERSE STUTTGART
278,BIOSTIME INTL (8BI.SG),8BI.SG,8BI.SG,SG,BOERSE STUTTGART
279,BRUNELLO CUCINELLI (8BU.SG),8BU.SG,8BU.SG,SG,BOERSE STUTTGART
280,CANFOR PULP (8CP.SG),8CP.SG,8CP.SG,SG,BOERSE STUTTGART
281,ZOOMLION HEAVY -H- (8CZ.SG),8CZ.SG,8CZ.SG,SG,BOERSE STUTTGART
282,Demco Public Company Limited,8DM.SG,8DM.SG,SG,BOERSE STUTTGART
283,SOFINA (8FS.SG),8FS.SG,8FS.SG,SG,BOERSE STUTTGART
284,GLENCORE (8GC.SG),8GC.SG,8GC.SG,SG,BOERSE STUTTGART
285,GENERAL MOTORS (8GM.SG),8GM.SG,8GM.SG,SG,BOERSE STUTTGART
286,INTERPUMP GROUP (8IG.SG),8IG.SG,8IG.SG,SG,BOERSE STUTTGART
287,MONADELPHOUS GRP (8MP.SG),8MP.SG,8MP.SG,SG,BOERSE STUTTGART
288,AKKO Invest Nyrt,8PL.SG,8PL.SG,SG,BOERSE STUTTGART
